product_id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,product_name,imageUrl,Brand,tags
17765,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,Formal,Buckaroo Men Nieves Brown Formal Shoe,http://assets.myntassets.com/v1/images/style/properties/70dea74bb6c35ba9db90bce42d0a6dca_images.jpg,Buckaroo,Men Footwear Shoes Formal Shoes Brown Winter Formal Buckaroo Men Nieves Brown Formal Shoe
24836,Women,Footwear,Shoes,Sports Shoes,Grey,Fall,Sports,New Balance Women Grey Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/New-Balance-Unisex-NEW-BALANCE-M-RUNNING-GREY-Grey-Sports-Shoes_63002ee36c94eb4cd8386dcc6c1c78ae_images.jpg,New,Women Footwear Shoes Sports Shoes Grey Fall Sports New Balance Women Grey Sports Shoes
57380,Women,Apparel,Innerwear,Briefs,Grey,Winter,Casual,Amante Women Grey Briefs PFCL06,http://assets.myntassets.com/v1/images/style/properties/Amante-Women-Grey-Brief_98ab98971a75750059f2102ae2b15fdb_images.jpg,Amante,Women Apparel Innerwear Briefs Grey Winter Casual Amante Women Grey Briefs PFCL06
35878,Boys,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Marvel Boys Comics Purple T-shirt,http://assets.myntassets.com/v1/images/style/properties/0a43fc9f994b5a0612c8999c0bf237b1_images.jpg,Marvel,Boys Apparel Topwear Tshirts Purple Summer Casual Marvel Boys Comics Purple T-shirt
34848,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,ADIDAS Men Trx HG Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/04d05ec2abc7dc706a5c4340659d29bb_images.jpg,ADIDAS,Men Footwear Shoes Sports Shoes Black Summer Sports ADIDAS Men Trx HG Black Sports Shoes
13288,Men,Apparel,Bottomwear,Trousers,Beige,Fall,Casual,Gini and Jony Kids Solid Beige Trousers,http://assets.myntassets.com/v1/images/style/properties/8c72a6e386795f09943214e8bfea00aa_images.jpg,Gini,Men Apparel Bottomwear Trousers Beige Fall Casual Gini and Jony Kids Solid Beige Trousers
10817,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Wrangler Men Urban Raiser Green Shirts,http://assets.myntassets.com/v1/images/style/properties/ae37ecbdd1a1801a59b16b79d78c2569_images.jpg,Wrangler,Men Apparel Topwear Shirts Green Fall Casual Wrangler Men Urban Raiser Green Shirts
12474,Men,Footwear,Sandal,Sandals,Black,Fall,Casual,Clarks Men Leather Black Sandals,http://assets.myntassets.com/v1/images/style/properties/19fdff57a8c95eb1701686a9d74224b2_images.jpg,Clarks,Men Footwear Sandal Sandals Black Fall Casual Clarks Men Leather Black Sandals
3962,Women,Apparel,Topwear,Tops,Black,Summer,Casual,Jealous 21 Women Black Shimmery Falling Neck Top,http://assets.myntassets.com/v1/images/style/properties/ca1b177ef6a5b4c782933f43485d65fd_images.jpg,Jealous,Women Apparel Topwear Tops Black Summer Casual Jealous 21 Women Black Shimmery Falling Neck Top
54641,Men,Accessories,Watches,Watches,Black,Winter,Casual,Fastrack Men White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Men-White-Dial-Watch_8b05f59069c8c76508c0faf5562f1b7b_images.jpg,Fastrack,Men Accessories Watches Watches Black Winter Casual Fastrack Men White Dial Watch
